,distance,diff_h,rad,deg_rad,diff_rad
0,7.18806459,8.7085385324,1.072106064251006,61.42715267196411,1.072106064251006
1,1.29619526,0.7730873275800008,1.0708788211963036,61.356836824492916,1.8279820990230178e-08
2,1.29619526,0.773087327579999,1.0708788934518856,61.35684096443282,7.225558196211068e-08
3,1.29619526,0.7730873275800025,1.0708789650430712,61.356845066305596,7.159118564636913e-08
4,1.29619526,0.773087327579999,1.0708790380896762,61.35684925156778,7.304660498697046e-08
5,1.29619526,0.773087327579999,1.070879105718541,61.3568531264163,6.762886473055119e-08
6,1.29619526,0.773087327579999,1.0708791749833715,61.35685709499876,6.926483053781851e-08
7,1.29619526,0.7730873275800008,1.0708792431668654,61.35686100162519,6.818349396198187e-08
8,1.30314542,0.7730873275800008,1.0708793139838808,61.356865059141285,7.081701536293394e-08
9,1.29967498,0.7730873275800008,1.0708793805742627,61.35686887448912,6.659038187528665e-08
10,1.29967498,0.7730873275800008,1.0708794509483428,61.356872906626904,7.037408011889568e-08
11,1.29967498,0.7730873275799972,1.0708795155994544,61.35687661086274,6.465111157538672e-08
12,1.29619526,0.7730873275800008,1.07087958310555,61.35688047867711,6.750609560235432e-08
13,1.29967498,0.7730873275800008,1.0708796506116438,61.35688434649137,6.750609382599748e-08
14,1.29619526,0.7730873275800008,1.070879717868346,61.356888200016556,6.725670220752988e-08
15,1.29619526,0.7730873275799972,1.0708799441284007,61.35690116376276,2.820896782829152e-08
16,1.29619526,0.7730873275800008,1.070880010069303,61.356904941898165,6.594090229405936e-08
17,1.30314542,0.7730873275799972,1.0708800779773935,61.35690883274515,6.790809048418112e-08
