,lat,lon,h
34,35.61526976352623,139.299839271848,11.139649027176
35,35.61527011337695,139.2998402149936,11.210665188663
36,35.61527046322767,139.29984115813923,11.28168135015
37,35.61527081307839,139.29984210128487,11.352697511637
38,35.61527116292909,139.29984304443053,11.423713673124
39,35.6152715127798,139.29984398757617,11.494729834611
40,35.615271862630486,139.29984493072186,11.565745996098
41,35.61527221248117,139.29984587386753,11.636762157585
42,35.61527256233185,139.29984681701325,11.707778319072
43,35.61527291218253,139.29984776015894,11.778794480559
44,35.615273262033185,139.29984870330466,11.849810642046
45,35.61527361188384,139.29984964645038,11.920826803533
46,35.6152739617345,139.2998505895961,11.99184296502
47,35.61527431158515,139.29985153274185,12.062859126507002
48,35.61527466143578,139.2998524758876,12.133875287994
49,35.615275011286414,139.29985341903335,12.204891449481
50,35.61527536113703,139.29985436217913,12.275907610968002
51,35.61527571098764,139.29985530532494,12.346923772455
52,35.615276060838255,139.29985624847075,12.417939933942
53,35.61527641068886,139.29985719161655,12.488956095429002
54,35.615276760539444,139.29985813476236,12.559972256916
55,35.61527711039003,139.2998590779082,12.630988418403
56,35.615277460240605,139.29986002105403,12.70200457989
57,35.61527781009118,139.29986096419984,12.773020741377
58,35.615278159941745,139.2998619073457,12.844036902864
59,35.6152785097923,139.29986285049156,12.915053064351
60,35.61527885964284,139.29986379363746,12.986069225838
61,35.61527920949339,139.29986473678335,13.057085387325
62,35.61527955934392,139.2998656799292,13.128101548812
63,35.61527990919444,139.29986662307513,13.199117710299
64,35.615280259044965,139.29986756622105,13.270133871786
65,35.615280608895475,139.29986850936697,13.341150033273
66,35.61528095874598,139.29986945251292,13.41216619476
67,35.615281308596465,139.29987039565884,13.483182356247
68,35.61528165844695,139.29987133880482,13.554198517734
69,35.615282008297434,139.29987228195077,13.625214679221
70,35.6152823581479,139.29987322509675,13.696230840708
71,35.61528270799837,139.29987416824275,13.767247002195
72,35.61528305784881,139.29987511138873,13.838263163682
73,35.61528340769927,139.29987605453474,13.909279325169
74,35.615283757549705,139.29987699768074,13.980295486656
75,35.615284107400136,139.29987794082675,14.051311648143
76,35.61528445725057,139.2998788839728,14.12232780963
77,35.61528480710098,139.29987982711884,14.193343971117
78,35.615285156951394,139.2998807702649,14.264360132604
79,35.61528550680178,139.29988171341097,14.335376294091
80,35.61528585665218,139.29988265655703,14.406392455578
81,35.61528620650257,139.29988359970312,14.477408617065
82,35.61528655635294,139.29988454284918,14.548424778552002
83,35.61528690620331,139.29988548599528,14.619440940039002
84,35.61528725605367,139.2998864291414,14.690457101526
85,35.61528760590402,139.29988737228754,14.761473263013
86,35.61528795575437,139.29988831543366,14.8324894245
87,35.6152883056047,139.29988925857978,14.903505585987
88,35.61528865545503,139.29989020172593,14.974521747474002
89,35.61528900530536,139.29989114487208,15.045537908960998
90,35.61528935515567,139.29989208801825,15.116554070448
91,35.61528970500597,139.29989303116446,15.187570231935
92,35.61529005485626,139.29989397431063,15.258586393422
93,35.61529040470654,139.2998949174568,15.329602554909002
94,35.61529075455683,139.29989586060302,15.400618716396002
95,35.61529110440709,139.29989680374922,15.471634877883
96,35.61529145425737,139.29989774689545,15.54265103937
97,35.61529180410762,139.2998986900417,15.613667200857
98,35.61529215395786,139.29989963318792,15.684683362344002
99,35.6152925038081,139.29990057633418,15.755699523831002
100,35.61529285365834,139.29990151948044,15.826715685318002
101,35.61529320350856,139.2999024626267,15.897731846805
102,35.615293553358775,139.299903405773,15.968748008292
103,35.61529390320897,139.29990434891928,16.039764169779
104,35.615294253059176,139.29990529206557,16.110780331266
105,35.61529460290936,139.29990623521186,16.181796492753
106,35.61529495275955,139.29990717835818,16.25281265424
107,35.615295302609724,139.29990812150453,16.323828815727
